ISBN o Codice	Titolo	Autore	Posizione
N00040002	Tutte Le Opere - Secondo Volume	Giacomo Leopardi	B5
N00040001	Tutte Le Opere - Primo Volume	Giacomo Leopardi	B5
8879835866	Il Rosso E Il Nero	Stendhal	B4
8834408381	I Draghi Dell'Estate Di Fuoco	Margaret Weis, Tracy Hickman	B4
883440629X	La Seconda Generazione	Margaret Weis, Tracy Hickman	B4
9788866208037	Manhattan Transfer	John Dos Passos	B5
8834409248	Raistlin - L'Alba Del Male	Margaret Weis	B4
8845247368	Baudolino	Umberto Eco	B4
N00020000	I Racconti Del Grande Nord E Della Corsa All'Oro	Jack London	B4
8871339029	Olympia - Indagime Ai Giochi Ellenici	Daniela Comastri Montanari	B5
9788854118553	Robin Hood	Alexandre Dumas	B4
887983990X	L'Idiota	Fedor Michajlovic Dostoevskij	B4
3	Eneide	Virgilio	B4
N00050000	Palomar	Italo Calvino	B5
8845050645	Romanzi	Joseph Conrad	B4
N00060000	Storie Proprio CosÌ	Rudyard Kipling	B5
8879836064	Frankenstein	Mary Shelley	B4
8811600448	La Conquista Del K 2	Ardito Desio	B5
N00010000	Qumran, La Valle Dei Misteri	Franz Braumann	B4
9788823904552	L'Amante Di Lady Chatterley	David Herbert Lawrence	B4
8871334787	Gallia Est	Daniela Comastri Montanari	B5
9788878516625	Nemesis	Daniela Comastri Montanari	B5
N00070000	Il Futuro Ha Un Cuore Antico	Carlo Levi	B5
8838470251	Gli Sherpa Dell'Everest. I Veri Eroi Della Montagna Sacra	Judy Tenzing, Tashi Tenzing	B4
8838469148	Lo Sherpa. La Tragedia Di «Aria Sottile» Raccontata Dal Capo Degli Sherpa	Jamling Tenzing Norgay, Broughton Coburn	B4
8878511714	Tenebrae	Daniela Comastri Montanari	B5
